Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_120.0,C_121.0,C_122.0,C_123.0,C_124.0,C_125.0,C_126.0,C_127.0,C_128.0,C_129.0,C_130.0,C_131.0,C_132.0,P_120.0,P_121.0,P_122.0,P_123.0,P_124.0,P_125.0,P_126.0,P_127.0,P_128.0,P_129.0,P_130.0,P_131.0,P_132.0
IBM,Bear Call Spread,-39.45,-86.0,86.0,314.0,61.6,36.94,-0.12563694267515924,-21.999999999999996,-0.9999999999999996,3.0,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-22.93,-320.0,320.0,180.0,34.65,63.89,-0.12738888888888888,-25.0,1.9999999999999998,-1.9999999999999991,1.9999999999999991,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-24.78,-111.0,111.0,189.0,51.78,46.76,-0.13111111111111112,-19.000000000000007,0.0,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-30.6,-71.0,71.0,229.0,61.04,37.5,-0.13362445414847163,-18.0,-0.9999999999999996,1.9999999999999991,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-29.25,-89.0,89.0,211.0,55.9,42.64,-0.1386255924170616,-18.0,-1.0000000000000009,0.9999999999999996,-0.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-20.8,-151.0,151.0,149.0,42.24,56.31,-0.13959731543624163,-19.000000000000007,1.0000000000000009,-0.9999999999999996,0.0,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-29.99,-187.00000000000003,187.00000000000003,212.99999999999997,44.02,54.52,-0.1407981220657277,-25.000000000000007,0.0,-0.9999999999999996,0.0,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-23.76,-240.0,240.0,160.0,35.8,62.75,-0.14850000000000002,-20.999999999999996,0.9999999999999996,-1.9999999999999991,1.9999999999999991,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-26.69,-127.00000000000003,127.00000000000003,172.99999999999997,46.41,52.13,-0.15427745664739886,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-17.5,-91.0,91.0,109.0,44.62,53.92,-0.16055045871559634,-13.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
