Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_38.0,C_38.5,C_39.0,C_39.5,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,P_38.0,P_38.5,P_39.0,P_39.5,P_40.0,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0
WBA,Bear Call Spread,-26.78,-86.0,86.0,114.0,41.02,57.6,-0.2349122807017544,-28.000000000000004,1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-17.7,-25.0,25.0,75.0,51.87,46.75,-0.236,-14.000000000000002,-1.0000000000000009,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-23.08,-57.0,57.0,93.0,43.54,55.08,-0.24817204301075266,-20.999999999999996,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-12.66,-3.0,3.0,47.0,63.82,34.81,-0.2693617021276596,-4.999999999999999,-2.0000000000000004,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-10.92,-60.0,60.0,40.0,28.99,69.64,-0.273,-10.999999999999998,2.0000000000000004,-1.0000000000000002,0.9999999999999999,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-19.03,-31.0,31.0,69.0,46.2,52.42,-0.2757971014492754,-14.000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-24.45,-65.0,65.0,85.0,37.55,61.07,-0.2876470588235294,-21.000000000000004,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-12.41,-6.999999999999993,6.999999999999993,43.00000000000001,57.82,40.81,-0.28860465116279066,-7.000000000000001,-1.0000000000000009,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-14.34,-53.0,53.0,47.0,31.85,66.77,-0.3051063829787234,-13.0,2.0000000000000018,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-29.51,-104.0,104.0,96.0,31.85,66.77,-0.30739583333333337,-25.0,3.0000000000000013,-1.0000000000000002,0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-108.71,-159.0,159.0,341.0,32.68,65.94,-0.31879765395894427,-82.0,10.0,-3.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-20.76,-36.0,36.0,64.0,41.02,57.6,-0.324375,-13.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-106.42,-149.0,149.0,301.0,31.85,66.77,-0.3535548172757475,-76.0,11.0,-3.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-15.15,-8.0,8.0,42.0,50.42,48.21,-0.3607142857142857,-7.000000000000001,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-30.23,-67.0,67.0,83.0,33.56,65.06,-0.3642168674698795,-19.999999999999996,2.0000000000000018,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-101.65,-138.0,138.0,262.0,31.07,67.56,-0.38797709923664125,-71.0,13.0,-3.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-16.7,-10.0,10.0,40.0,43.54,55.08,-0.4175,-7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-11.63,-23.0,23.0,27.0,29.63,68.99,-0.43074074074074076,-5.999999999999995,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-99.1,-121.0,121.0,229.0,29.63,68.99,-0.43275109170305676,-64.0,14.000000000000002,-4.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-33.39,-29.0,29.0,71.0,34.49,64.13,-0.4702816901408451,-14.000000000000002,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-96.78,-100.0,100.0,200.0,28.38,70.24,-0.4839,-57.00000000000001,14.000000000000002,-4.0,3.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
