Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_92.0,C_92.5,C_93.0,C_93.5,C_94.0,C_94.5,C_95.0,C_95.5,C_96.0,C_96.5,C_97.0,C_97.5,C_98.0,C_98.5,C_99.0,C_99.5,C_100.0,C_101.0,C_102.0,C_103.0,C_104.0,P_92.0,P_92.5,P_93.0,P_93.5,P_94.0,P_94.5,P_95.0,P_95.5,P_96.0,P_96.5,P_97.0,P_97.5,P_98.0,P_98.5,P_99.0,P_99.5,P_100.0,P_101.0,P_102.0,P_103.0,P_104.0
JPM,Bear Call Spread,-25.81,-76.0,76.0,224.0,61.52,38.48,-0.11522321428571428,-16.0,-0.9999999999999996,1.9999999999999991,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPM,Bear Call Spread,-48.04,-286.0,286.0,414.0,47.98,52.02,-0.11603864734299517,-41.0,-0.9999999999999996,1.9999999999999991,-1.0000000000000009,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPM,Bear Call Spread,-39.23,-165.0,165.0,335.0,53.74,46.26,-0.11710447761194029,-29.000000000000004,-0.9999999999999996,3.0,-1.0000000000000009,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPM,Bear Call Spread,-66.67,-483.0,483.0,567.0,43.71,56.29,-0.11758377425044092,-57.00000000000001,0.0,2.0000000000000004,-0.9999999999999996,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPM,Bear Call Spread,-27.39,-121.0,121.0,229.0,53.74,46.26,-0.11960698689956333,-21.999999999999996,-0.9999999999999996,0.9999999999999996,-1.0000000000000009,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPM,Bear Call Spread,-48.23,-251.0,251.0,399.0,48.7,51.3,-0.12087719298245614,-38.0,-0.9999999999999996,1.9999999999999991,-1.0000000000000009,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPM,Bear Call Spread,-20.69,-29.0,29.0,171.0,71.23,28.77,-0.12099415204678364,-8.000000000000002,-1.0000000000000002,2.0000000000000004,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPM,Bear Call Spread,-71.34,-563.0,563.0,587.0,42.31,57.69,-0.12153321976149915,-61.00000000000001,0.0,1.0000000000000009,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPM,Bear Call Spread,-33.69,-173.0,173.0,277.0,50.14,49.86,-0.12162454873646208,-28.000000000000004,-0.9999999999999996,2.0000000000000004,-1.0000000000000009,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPM,Bear Call Spread,-44.28,-336.00000000000006,336.00000000000006,363.99999999999994,44.42,55.58,-0.12164835164835167,-41.99999999999999,0.0,0.9999999999999996,-1.0000000000000009,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
