Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_131.0,C_132.0,C_133.0,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,P_131.0,P_132.0,P_133.0,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0
PEP,Bear Call Spread,-28.38,-35.0,35.0,165.0,63.17,36.83,-0.172,-14.999999999999996,-1.0000000000000009,2.0000000000000004,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-17.38,-3.0,3.0,97.0,76.8,23.2,-0.17917525773195875,-6.0,-0.9999999999999996,1.0000000000000002,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-10.84,-42.99999999999997,42.99999999999997,57.00000000000003,45.96,54.04,-0.19017543859649114,-8.000000000000002,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-28.54,-52.0,52.0,148.0,55.1,44.9,-0.19283783783783784,-14.999999999999996,-0.9999999999999996,1.0000000000000009,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-40.73,-191.0,191.0,209.0,40.62,59.38,-0.1948803827751196,-29.000000000000004,0.0,0.9999999999999996,-1.0000000000000009,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-50.74,-341.0,341.0,259.0,36.35,63.65,-0.19590733590733592,-40.0,2.0000000000000004,0.0,0.9999999999999996,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-48.04,-261.0,261.0,239.0,38.03,61.97,-0.2010041841004184,-35.0,1.0000000000000009,0.0,0.0,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-27.17,-266.0,266.0,134.0,30.75,69.25,-0.20276119402985077,-25.0,3.0,-0.9999999999999996,2.0000000000000004,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-17.16,-116.0,116.0,84.0,34.7,65.3,-0.2042857142857143,-14.000000000000002,0.9999999999999996,0.0,0.0,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-57.48,-421.0,421.0,279.0,34.7,65.3,-0.2060215053763441,-44.00000000000001,2.0000000000000004,0.0,1.9999999999999991,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-24.47,-186.0,186.0,114.0,32.3,67.7,-0.21464912280701753,-19.999999999999996,2.0000000000000004,-0.9999999999999996,1.0000000000000009,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-33.91,-346.0,346.0,154.0,29.25,70.75,-0.22019480519480517,-29.000000000000004,3.0,-0.9999999999999996,3.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-22.57,-5.0,5.0,95.0,69.12,30.88,-0.23757894736842106,-7.000000000000001,-1.0000000000000009,0.9999999999999996,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-26.45,-90.0,90.0,110.0,40.62,59.38,-0.24045454545454545,-15.999999999999998,0.9999999999999996,0.9999999999999996,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-34.57,-63.99999999999997,63.99999999999997,136.00000000000003,47.78,52.22,-0.2541911764705882,-15.000000000000002,-0.9999999999999996,0.9999999999999996,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-24.56,-206.0,206.0,94.0,26.4,73.6,-0.2612765957446808,-17.000000000000004,2.0000000000000004,-0.9999999999999996,2.0000000000000004,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-50.18,-111.0,111.0,189.0,42.38,57.62,-0.2655026455026455,-23.0,0.0,0.9999999999999996,-1.0000000000000009,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-31.3,-286.0,286.0,114.0,25.05,74.95,-0.27456140350877195,-21.000000000000007,2.0000000000000004,-0.9999999999999996,3.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-26.81,-9.0,9.0,91.0,60.52,39.48,-0.2946153846153846,-7.9999999999999964,0.0,1.0000000000000009,-0.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-21.86,-126.0,126.0,74.0,27.8,72.2,-0.2954054054054054,-12.0,1.0000000000000009,-0.9999999999999996,1.0000000000000009,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-14.55,-56.0,56.0,44.0,29.99,70.01,-0.3306818181818182,-6.000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-31.75,-215.0,215.0,85.0,20.76,79.24,-0.3735294117647059,-15.000000000000002,2.0000000000000004,-0.9999999999999996,3.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-25.01,-135.0,135.0,65.0,21.91,78.09,-0.3847692307692308,-10.999999999999998,2.0000000000000004,-0.9999999999999996,2.0000000000000004,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-26.61,-36.0,36.0,64.0,36.35,63.65,-0.41578125,-7.9999999999999964,0.9999999999999996,0.0,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-43.73,-1.0,1.0,99.0,50.52,49.48,-0.4417171717171717,-7.000000000000001,-0.9999999999999996,0.0,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-29.44,-140.0,140.0,60.0,16.69,83.31,-0.4906666666666667,-9.000000000000007,0.9999999999999996,0.0,1.9999999999999991,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-22.31,-55.0,55.0,45.0,23.13,76.87,-0.49577777777777776,-5.999999999999995,1.0000000000000009,-0.9999999999999996,1.0000000000000009,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-22.7,-60.0,60.0,40.0,17.62,82.38,-0.5675,-5.000000000000004,0.9999999999999996,0.0,0.9999999999999996,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-26.74,-60.0,60.0,40.0,13.49,86.51,-0.6685,-4.0000000000000036,0.0,0.0,0.9999999999999996,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Put Spread,-30.11,335.0,265.0,335.0,47.78,52.22,-0.08988059701492537,-48.0,-1.0000000000000009,3.0,-4.000000000000001,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PEP,Bear Put Spread,-40.49,425.0,275.0,425.0,48.69,51.31,-0.09527058823529412,-55.00000000000001,-3.0000000000000004,4.0,-6.000000000000001,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PEP,Bear Put Spread,-30.56,306.0,194.0,306.0,50.52,49.48,-0.09986928104575163,-41.0,-2.0000000000000004,3.0,-4.000000000000001,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
