Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_190.0,C_192.5,C_195.0,C_197.5,C_200.0,C_202.5,C_205.0,C_207.5,P_190.0,P_192.5,P_195.0,P_197.5,P_200.0,P_202.5,P_205.0,P_207.5
MCD,Bear Put Spread,-105.05,639.0,611.0,639.0,40.67,59.33,-0.16439749608763693,-46.0,0.0,1.9999999999999991,-1.0000000000000009,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
MCD,Bear Put Spread,-92.03,531.0,719.0,531.0,36.01,63.99,-0.1733145009416196,-42.00000000000001,1.0000000000000002,-1.9999999999999991,3.0000000000000013,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MCD,Bear Put Spread,-60.32,340.0,160.0,340.0,52.23,47.77,-0.17741176470588235,-19.999999999999996,-1.0000000000000002,4.000000000000001,-3.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
MCD,Bear Put Spread,-79.02,391.0,609.0,391.0,32.76,67.24,-0.20209718670076726,-32.00000000000001,1.0000000000000002,-4.000000000000001,3.9999999999999996,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MCD,Bear Put Spread,-84.62,415.0000000000001,84.99999999999989,415.0000000000001,59.27,40.73,-0.20390361445783128,-18.999999999999993,-1.0000000000000002,4.999999999999999,-5.000000000000002,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
MCD,Bear Put Spread,-57.1,266.0,484.0,266.0,29.44,70.56,-0.21466165413533836,-23.0,1.0000000000000002,-4.000000000000001,3.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MCD,Bear Put Spread,-86.83,400.0,350.0,400.0,40.32,59.68,-0.217075,-27.0,1.0000000000000002,2.0000000000000018,0.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
MCD,Bear Put Spread,-107.75,489.0,511.0,489.0,37.28,62.72,-0.22034764826175868,-36.0,1.0000000000000002,0.0,1.0000000000000009,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
MCD,Bear Put Spread,-52.32,230.0000000000001,19.999999999999886,230.0000000000001,67.05,32.95,-0.2274782608695651,-8.999999999999996,0.0,3.0,-3.0,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
MCD,Bear Put Spread,-74.93,305.0,195.0,305.0,43.58,56.42,-0.245672131147541,-19.0,0.0,2.0000000000000018,-0.9999999999999981,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
MCD,Bear Put Spread,-94.73,349.0,401.0,349.0,33.9,66.1,-0.271432664756447,-26.0,1.0000000000000002,-2.0000000000000018,1.9999999999999991,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
MCD,Bear Put Spread,-73.82,260.0,240.0,260.0,36.64,63.36,-0.2839230769230769,-17.000000000000004,1.0000000000000002,0.0,0.9999999999999981,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
MCD,Bear Put Spread,-72.3,225.0,25.0,225.0,56.77,43.23,-0.3213333333333333,-9.999999999999998,-1.0000000000000002,1.9999999999999991,-2.0000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
MCD,Bear Put Spread,-72.82,224.0,276.0,224.0,30.65,69.35,-0.3250892857142857,-17.0,1.0000000000000002,-2.0000000000000018,1.9999999999999991,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
MCD,Bear Put Spread,-63.02,190.0,60.0,190.0,48.2,51.8,-0.3316842105263158,-9.999999999999998,0.0,2.0000000000000018,-0.9999999999999981,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
MCD,Bear Put Spread,-70.2,196.0,304.0,196.0,25.76,74.24,-0.35816326530612247,-15.0,0.0,-4.000000000000001,3.0000000000000013,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Put Spread,-61.91,165.0,85.0,165.0,39.62,60.38,-0.3752121212121212,-9.000000000000002,0.0,0.0,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
MCD,Bear Put Spread,-35.29,93.0,157.0,93.0,23.54,76.46,-0.37946236559139784,-6.000000000000003,0.0,-1.9999999999999991,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Put Spread,-51.9,135.0,115.0,135.0,32.76,67.24,-0.3844444444444444,-8.000000000000002,1.0000000000000002,0.0,0.9999999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
MCD,Bear Put Spread,-85.91,154.0,96.0,154.0,26.68,73.32,-0.5578571428571428,-8.999999999999996,0.0,-2.0000000000000018,1.0000000000000009,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
