Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_150.0,C_152.5,C_155.0,C_157.5,C_160.0,C_162.5,C_165.0,C_167.5,C_170.0,P_150.0,P_152.5,P_155.0,P_157.5,P_160.0,P_162.5,P_165.0,P_167.5,P_170.0
MMM,Bear Put Spread,-44.39,614.0,886.0,614.0,42.2,57.75,-0.07229641693811074,-49.99999999999999,2.0,-1.0000000000000009,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MMM,Bear Put Spread,-31.32,415.0,335.0,415.0,49.78,50.17,-0.07546987951807228,-27.999999999999996,1.0000000000000002,3.0,-0.9999999999999996,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
MMM,Bear Put Spread,-39.66,505.0,495.0,505.0,46.37,53.58,-0.07853465346534652,-35.99999999999999,1.0000000000000002,1.9999999999999991,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
MMM,Bear Put Spread,-57.57,700.0,300.0,700.0,57.63,42.32,-0.08224285714285715,-35.0,-2.0,7.000000000000001,-4.999999999999999,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
MMM,Bear Put Spread,-50.5,469.0,781.0,469.0,38.1,61.85,-0.10767590618336886,-41.0,2.0,-3.0,3.9999999999999996,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MMM,Bear Put Spread,-46.84,422.0,578.0,422.0,39.95,60.0,-0.11099526066350712,-35.0,1.0000000000000002,-1.0000000000000009,1.9999999999999991,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MMM,Bear Put Spread,-65.65,580.0,170.0,580.0,61.94,38.01,-0.1131896551724138,-25.0,-2.0,6.0,-4.999999999999999,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
MMM,Bear Put Spread,-35.78,315.0,185.0,315.0,53.55,46.4,-0.11358730158730158,-18.999999999999993,0.0,3.0,-0.9999999999999996,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
MMM,Bear Put Spread,-87.3,725.0,525.0,725.0,47.51,52.45,-0.12041379310344827,-43.0,0.0,3.0,-2.0000000000000004,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
MMM,Bear Put Spread,-78.95,635.0,365.0,635.0,50.92,49.03,-0.12433070866141732,-35.0,0.0,4.000000000000001,-3.0,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
