Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_69.0,C_70.0,C_70.5,C_71.0,C_71.5,C_72.0,C_72.5,C_73.0,C_73.5,C_74.0,C_74.5,C_75.0,C_75.5,C_76.0,C_76.5,C_77.0,C_77.5,C_78.0,C_78.5,P_69.0,P_70.0,P_70.5,P_71.0,P_71.5,P_72.0,P_72.5,P_73.0,P_73.5,P_74.0,P_74.5,P_75.0,P_75.5,P_76.0,P_76.5,P_77.0,P_77.5,P_78.0,P_78.5
GILD,Bear Call Spread,-48.7,-122.0,122.0,328.0,54.51,45.49,-0.14847560975609758,-31.999999999999996,-3.0,4.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GILD,Bear Call Spread,-49.75,-165.0,165.0,335.0,51.2,48.8,-0.14850746268656717,-35.00000000000001,-1.0000000000000009,2.0000000000000004,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GILD,Bear Call Spread,-43.99,-157.0,157.0,293.0,50.55,49.45,-0.15013651877133105,-34.00000000000001,-1.0000000000000009,3.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GILD,Bear Call Spread,-74.02,-319.0,319.0,481.0,44.9,55.1,-0.15388773388773389,-57.99999999999999,-0.9999999999999996,1.9999999999999998,-2.0000000000000004,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GILD,Bear Call Spread,-7.08,-5.000000000000007,5.000000000000007,44.99999999999999,74.66,25.34,-0.15733333333333335,-4.999999999999999,-0.9999999999999996,1.9999999999999998,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GILD,Bear Call Spread,-55.98,-396.0,396.0,354.0,40.7,59.3,-0.158135593220339,-52.0,2.0000000000000004,0.0,1.0000000000000002,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GILD,Bear Call Spread,-30.44,-109.0,109.0,191.0,50.55,49.45,-0.1593717277486911,-23.000000000000004,0.0,2.0000000000000004,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GILD,Bear Call Spread,-38.56,-160.0,160.0,240.0,47.37,52.63,-0.16066666666666668,-30.0,0.0,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GILD,Bear Call Spread,-32.26,-53.999999999999986,53.999999999999986,196.0,60.71,39.29,-0.16459183673469388,-16.0,-1.0000000000000009,1.0000000000000009,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GILD,Bear Call Spread,-47.62,-111.0,111.0,289.0,53.84,46.16,-0.1647750865051903,-27.0,-2.0000000000000004,2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
