Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_52.0,C_52.5,C_53.0,C_53.5,C_54.0,C_54.5,C_55.0,C_55.5,C_56.0,C_56.5,C_57.0,C_57.5,P_52.0,P_52.5,P_53.0,P_53.5,P_54.0,P_54.5,P_55.0,P_55.5,P_56.0,P_56.5,P_57.0,P_57.5
SO,Bear Call Spread,-33.0,-217.0,217.0,133.0,32.19,67.81,-0.24812030075187969,-39.00000000000001,6.000000000000001,-1.0000000000000002,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO,Bear Call Spread,-31.55,-23.0,23.0,127.0,56.48,43.52,-0.24842519685039371,-18.999999999999996,-3.0000000000000013,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO,Bear Call Spread,-24.65,-101.0,101.0,99.0,36.38,63.62,-0.24898989898989898,-26.000000000000007,3.0000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO,Bear Call Spread,-49.06,-156.0,156.0,194.0,37.83,62.17,-0.25288659793814433,-46.0,0.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO,Bear Call Spread,-38.74,-56.999999999999986,56.999999999999986,143.0,45.42,54.58,-0.27090909090909093,-28.000000000000004,-2.0000000000000018,1.0000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO,Bear Call Spread,-43.96,-143.0,143.0,157.0,36.38,63.62,-0.28,-38.0,2.0000000000000004,0.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO,Bear Call Spread,-24.06,-65.0,65.0,85.0,39.31,60.69,-0.28305882352941175,-20.0,2.0000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO,Bear Call Spread,-27.69,-153.0,153.0,97.0,30.86,69.14,-0.2854639175257732,-28.000000000000004,5.000000000000002,0.0,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO,Bear Call Spread,-35.97,-30.0,30.0,120.0,48.57,51.43,-0.29975,-20.999999999999996,-2.0000000000000018,1.0000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO,Bear Call Spread,-33.09,-191.0,191.0,109.0,28.3,71.7,-0.30357798165137617,-32.00000000000001,6.000000000000001,-1.0000000000000002,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
