Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_167.5,C_170.0,C_172.5,C_175.0,C_177.5,C_180.0,C_182.5,C_185.0,P_167.5,P_170.0,P_172.5,P_175.0,P_177.5,P_180.0,P_182.5,P_185.0
UNP,Bear Put Spread,-61.35,580.0,420.0,580.0,48.91,51.09,-0.10577586206896553,-41.0,0.0,4.999999999999999,-1.9999999999999991,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
UNP,Bear Put Spread,-56.74,531.0,719.0,531.0,41.01,58.99,-0.10685499058380414,-47.00000000000001,1.0000000000000002,1.0000000000000009,1.9999999999999991,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
UNP,Bear Put Spread,-60.25,484.0,516.0,484.0,42.97,57.03,-0.12448347107438017,-40.0,1.0000000000000002,2.0000000000000018,0.9999999999999996,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
UNP,Bear Put Spread,-53.96,386.0,614.0,386.0,36.77,63.23,-0.13979274611398965,-34.00000000000001,1.0000000000000002,-1.9999999999999991,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
UNP,Bear Put Spread,-69.67,495.0,255.0,495.0,52.07,47.93,-0.14074747474747476,-32.0,0.0,6.0,-3.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
UNP,Bear Put Spread,-66.75,420.0,330.0,420.0,45.34,54.66,-0.15892857142857142,-32.00000000000001,0.0,3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
UNP,Bear Put Spread,-57.47,339.0,411.0,339.0,38.68,61.32,-0.16952802359882005,-27.0,1.0000000000000002,-0.9999999999999981,2.0000000000000004,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
UNP,Bear Put Spread,-82.38,390.00000000000006,109.99999999999994,390.00000000000006,56.37,43.63,-0.2112307692307692,-21.999999999999996,0.0,4.999999999999999,-3.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
UNP,Bear Put Spread,-75.06,335.0,165.0,335.0,48.51,51.49,-0.22405970149253732,-23.000000000000004,0.0,4.000000000000001,-1.0000000000000009,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
UNP,Bear Put Spread,-63.97,275.0,225.0,275.0,41.01,58.99,-0.2326181818181818,-19.000000000000007,0.0,0.0,1.0000000000000009,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
UNP,Bear Put Spread,-71.67,286.0,464.0,286.0,31.19,68.81,-0.2505944055944056,-24.000000000000004,1.0000000000000002,-3.0,3.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
UNP,Bear Put Spread,-75.19,239.0,261.0,239.0,33.02,66.98,-0.31460251046025106,-17.0,1.0000000000000002,-1.9999999999999991,2.0000000000000004,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
UNP,Bear Put Spread,-68.99,190.0,310.0,190.0,25.98,74.02,-0.3631052631578947,-15.0,1.0000000000000002,-1.9999999999999991,1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Put Spread,-72.28,190.0,60.0,190.0,44.55,55.45,-0.38042105263157894,-10.000000000000004,0.0,1.0000000000000009,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
UNP,Bear Put Spread,-87.78,230.00000000000006,19.999999999999943,230.00000000000006,52.86,47.14,-0.3816521739130434,-13.0,0.0,3.0,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
UNP,Bear Put Spread,-81.68,174.99999999999997,75.00000000000003,174.99999999999997,35.25,64.75,-0.46674285714285724,-9.000000000000002,0.0,-1.0000000000000009,1.0000000000000009,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
UNP,Bear Put Spread,-72.5,143.0,107.0,143.0,27.67,72.33,-0.506993006993007,-7.9999999999999964,1.0000000000000002,-0.9999999999999981,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Put Spread,-64.49,115.00000000000001,135.0,115.00000000000001,20.32,79.68,-0.5607826086956521,-7.0000000000000036,0.0,-1.0000000000000009,0.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
