Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_128.0,C_129.0,C_130.0,C_131.0,C_132.0,C_133.0,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,C_147.0,P_128.0,P_129.0,P_130.0,P_131.0,P_132.0,P_133.0,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0,P_147.0
CAT,Bear Call Spread,-113.42,-756.9999999999999,756.9999999999999,743.0000000000001,40.58,59.42,-0.15265141318977118,-53.0,0.0,2.0000000000000004,0.0,-1.9999999999999998,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAT,Bear Call Spread,-102.45,-532.0,532.0,668.0,43.75,56.25,-0.1533682634730539,-45.00000000000001,0.0,3.9999999999999996,-0.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAT,Bear Call Spread,-108.6,-602.0,602.0,698.0,42.55,57.45,-0.15558739255014326,-48.0,0.0,3.0000000000000013,-0.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAT,Bear Call Spread,-99.83,-659.0000000000001,659.0000000000001,640.9999999999999,40.97,59.03,-0.15574102964118566,-46.0,0.0,3.0,0.0,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAT,Bear Call Spread,-86.63,-444.0,444.0,556.0,44.16,55.84,-0.1558093525179856,-37.0,0.0,3.0,-1.0000000000000009,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAT,Bear Call Spread,-101.61,-349.0,349.0,651.0,48.7,51.3,-0.15608294930875577,-36.0,-1.0000000000000002,5.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAT,Bear Call Spread,-108.54,-409.0,409.0,691.0,47.03,52.97,-0.15707670043415342,-40.0,-1.0000000000000002,3.9999999999999996,-3.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAT,Bear Call Spread,-91.95,-332.0,332.0,568.0,47.86,52.14,-0.1618838028169014,-34.0,-1.0000000000000002,5.0,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAT,Bear Call Spread,-98.88,-392.0,392.0,608.0,46.2,53.8,-0.1626315789473684,-38.0,-1.0000000000000002,3.9999999999999996,-2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAT,Bear Call Spread,-43.22,-37.0,37.0,263.0,68.87,31.13,-0.16433460076045628,-10.0,0.0,3.0,-1.9999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
