,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_29.0,C_29.5,C_30.0,C_30.5,C_31.0,P_-1000000.0,P_29.5,P_30.0,P_30.5,P_31.0
22,T,Bull Call Spread,-19.88,30.0,109.55229695187157,744.5063579144398,46.04,53.94,-0.026702256856058506,-16.000000000000004,-22.0,3.0,-2.0,1.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
105,T,Bull Call Spread,-3.11,115.00000000000003,849.5063579144398,115.00000000000003,33.37,66.6,-0.027043478260869558,61.0,21.000000000000007,-3.0,1.9999999999999998,0.0,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0
42,T,Bull Call Spread,-19.3,651.0000000000001,1978.0127158288797,651.0000000000001,49.52,50.46,-0.02964669738863287,248.0,26.0,-6.0,4.000000000000001,5.0,5.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
74,T,Bull Call Spread,-14.94,481.0,1898.0127158288797,481.0,49.52,50.46,-0.03106029106029106,208.0,35.999999999999986,-6.0,4.000000000000001,5.0,0.0,5.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
26,T,Bull Call Spread,-11.09,342.0,972.5063579144398,342.0,49.52,50.46,-0.03242690058479532,123.99999999999997,9.999999999999998,-3.0,1.9999999999999998,3.0,3.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,T,Bull Call Spread,-14.82,435.0000000000001,1744.0127158288797,435.0000000000001,49.52,50.46,-0.034068965517241374,164.0,26.0,-6.0,4.000000000000001,2.0000000000000004,5.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,T,Bull Call Spread,-6.81,193.0,921.5063579144398,193.0,33.37,66.6,-0.03528497409326425,91.0,21.000000000000007,-3.0,1.9999999999999998,0.0,0.0,0.0,3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
58,T,Bull Call Spread,-8.47,240.0,924.5063579144398,240.0,49.52,50.46,-0.03529166666666667,99.99999999999999,16.000000000000004,-3.0,1.9999999999999998,3.0,0.0,3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
37,T,Bull Call Spread,-14.33,382.0,1032.5063579144398,382.0,49.52,50.46,-0.0375130890052356,141.99999999999994,12.0,-3.0,1.9999999999999998,3.0,3.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
20,T,Bull Call Spread,-19.73,522.0000000000001,1807.0127158288797,522.0000000000001,49.52,50.46,-0.037796934865900376,191.0,23.0,-6.0,4.000000000000001,5.0,5.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
