Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_51.0,C_52.0,C_53.0,C_54.0,C_55.0,C_56.0,C_57.0,C_58.0,C_59.0,C_60.0,C_61.0,C_62.0,C_63.0,C_64.0,C_65.0,C_66.0,C_67.0,P_51.0,P_52.0,P_53.0,P_54.0,P_55.0,P_56.0,P_57.0,P_58.0,P_59.0,P_60.0,P_61.0,P_62.0,P_63.0,P_64.0,P_65.0,P_66.0,P_67.0
BMY,Bear Put Spread,-69.0,198.0,102.0,198.0,39.35,60.65,-0.3484848484848485,0.5151515151515151,-20.999999999999996,0.0,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-52.07,145.0,55.0,145.0,43.52,56.48,-0.35910344827586205,0.3793103448275862,-13.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-10.95,29.0,71.0,29.0,18.94,81.06,-0.3775862068965517,2.4482758620689653,-3.0,1.0000000000000002,0.0,1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-50.41,115.0,285.0,115.0,19.98,80.02,-0.4383478260869565,2.4782608695652173,-17.0,3.0,-2.0000000000000004,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-44.06,99.0,201.0,99.0,20.52,79.48,-0.4450505050505051,2.0303030303030303,-13.0,1.9999999999999998,-0.9999999999999996,1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-62.42,128.0,72.0,128.0,30.63,69.37,-0.48765625,0.5625,-13.0,1.0000000000000009,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-41.5,83.0,117.0,83.0,21.61,78.39,-0.5,1.4096385542168675,-9.0,1.9999999999999998,0.0,1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-31.25,61.0,239.0,61.0,12.91,87.09,-0.5122950819672131,3.918032786885246,-7.999999999999999,1.0000000000000002,-0.9999999999999996,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-30.91,54.0,146.0,54.0,13.32,86.68,-0.5724074074074074,2.7037037037037037,-7.999999999999999,1.0000000000000002,-2.0000000000000004,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-44.5,74.0,26.0,74.0,28.09,71.9,-0.6013513513513513,0.35135135135135137,-6.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-25.69,42.0,158.0,42.0,9.89,90.11,-0.6116666666666667,3.761904761904762,-3.9999999999999982,1.0000000000000002,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-24.56,38.0,62.0,38.0,13.75,86.25,-0.6463157894736842,1.631578947368421,-4.000000000000001,0.0,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-44.56,68.0,32.0,68.0,22.16,77.83,-0.6552941176470588,0.47058823529411764,-6.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-16.34,23.0,77.0,23.0,7.39,92.61,-0.7104347826086956,3.347826086956522,0.0,0.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-25.35,35.0,65.0,35.0,10.24,89.76,-0.7242857142857143,1.8571428571428572,-3.9999999999999982,1.0000000000000002,-1.0000000000000009,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
