Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-403.86,-360.0,2500.0000000000027,360.0,1834.9999999994116,2140.0000000000027,53.11,46.89,0.16822429906542036,0.8574766355137426,Call,82.5,10.0,Call,84.0,-20.0,Call,88.0,10.0,-299.99999999999994,-19.99999999999997,19.999999999999996,-19.999999999999996,-10.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-395.28,-329.99999999999955,2000.0000000000027,329.99999999999955,1304.999999999397,1670.0000000000032,53.11,46.89,0.197604790419161,0.7814371257481404,Call,83.5,10.0,Call,84.5,-20.0,Call,87.5,10.0,-190.00000000000003,-10.000000000000009,9.999999999999998,-9.999999999999998,-10.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-492.91,-330.0,2000.0000000000027,330.0,1304.9999999994116,1670.0000000000027,48.24,51.76,0.19760479041916135,0.7814371257481494,Call,83.0,10.0,Call,84.0,-20.0,Call,87.0,10.0,-230.00000000000006,2.220446049250313e-14,9.999999999999998,-9.999999999999998,-10.0
NEM,NEWMONT CORPORATION COM,Bullish Put Modified Butterfly,-259.14,-200.0,1500.0000000000027,200.0,1655.0000000004816,1300.0000000000027,54.93,45.07,0.15384615384615352,1.273076923077291,Put,64.5,10.0,Put,67.5,-20.0,Put,69.0,10.0,120.00000000000001,0.0,9.999999999999998,0.0,-10.0
NEM,NEWMONT CORPORATION COM,Bullish Put Modified Butterfly,-194.91,-200.0,1000.0000000000028,200.0,1155.0000000004816,800.0000000000028,51.3,48.7,0.2499999999999991,1.443750000000597,Put,65.5,10.0,Put,67.5,-20.0,Put,68.5,10.0,70.00000000000011,0.0,9.999999999999998,0.0,-10.0
NEM,NEWMONT CORPORATION COM,Bullish Put Modified Butterfly,-326.95,-250.0,1500.0000000000027,250.0,1705.0000000004957,1250.0000000000027,48.4,51.6,0.19999999999999957,1.3640000000003936,Put,65.5,10.0,Put,68.5,-20.0,Put,70.0,10.0,119.99999999999993,-10.000000000000009,19.999999999999996,0.0,10.000000000000004
NEM,NEWMONT CORPORATION COM,Bullish Put Modified Butterfly,-283.05,-150.0,1000.0000000000028,150.0,1105.0000000004957,850.0000000000028,47.68,52.32,0.17647058823529352,1.3000000000005787,Put,66.0,10.0,Put,68.0,-20.0,Put,69.0,10.0,89.99999999999994,9.999999999999998,9.999999999999998,0.0,10.000000000000004
NEM,NEWMONT CORPORATION COM,Bullish Put Modified Butterfly,-289.5,-220.0,1000.0000000000028,220.0,1175.0000000004957,780.0000000000028,40.61,59.39,0.28205128205128105,1.5064102564108863,Put,67.0,10.0,Put,69.0,-20.0,Put,70.0,10.0,70.00000000000011,-1.1102230246251565e-14,9.999999999999998,0.0,10.000000000000004
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-224.15,-970.0,3000.0000000000055,970.0,3924.9999999992733,2030.0000000000055,44.01,55.99,0.47783251231526963,1.9334975369454497,Call,104.0,10.0,Call,107.0,-20.0,Call,113.0,10.0,-250.00000000000026,9.999999999999998,-1.1102230246251565e-14,9.999999999999998,-19.999999999999996
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-634.1,-290.0,2000.0000000000057,290.0,2244.999999999259,1710.0000000000057,40.12,59.88,0.16959064327485324,1.3128654970755858,Call,106.0,10.0,Call,108.0,-20.0,Call,112.0,10.0,-159.99999999999997,10.000000000000009,-10.000000000000009,-2.220446049250313e-14,-9.999999999999998
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-772.4,-1020.0,7500.000000000011,1020.0,6019.999999999303,6480.000000000011,61.46,37.79,0.15740740740740713,0.9290123456789032,Put,86.0,10.0,Put,98.5,-20.0,Put,103.5,10.0,170.0000000000002,0.0,79.99999999999999,-30.000000000000004,9.999999999999998
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-880.01,-830.0,6000.0000000000055,830.0,4329.999999999318,5170.0000000000055,60.98,38.26,0.1605415860735008,0.837524177949577,Put,87.5,10.0,Put,97.0,-20.0,Put,100.5,10.0,120.00000000000011,0.0,50.00000000000004,-19.999999999999996,10.000000000000004
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-734.85,-1130.0,7000.000000000011,1130.0,5629.999999999303,5870.000000000011,60.51,38.74,0.1925042589437816,0.9591141396932356,Put,87.0,10.0,Put,98.5,-20.0,Put,103.0,10.0,160.00000000000006,0.0,89.99999999999994,-30.000000000000004,10.000000000000004
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-782.68,-1100.0,7500.0000000000055,1100.0,6099.99999999929,6400.0000000000055,60.51,38.74,0.17187499999999986,0.9531249999998882,Put,86.5,10.0,Put,99.0,-20.0,Put,104.0,10.0,159.99999999999991,0.0,89.99999999999994,-30.000000000000004,10.0
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-900.31,-930.0,6500.000000000011,930.0,4929.999999999318,5570.000000000011,60.03,39.22,0.1669658886894072,0.8850987432673803,Put,87.5,10.0,Put,98.0,-20.0,Put,102.0,10.0,150.0,0.0,69.99999999999997,-19.999999999999996,10.000000000000004
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-836.69,-880.0,5500.0000000000055,880.0,3879.999999999318,4620.0000000000055,59.79,39.46,0.19047619047619024,0.8398268398266912,Put,88.5,10.0,Put,97.0,-20.0,Put,100.0,10.0,119.99999999999993,0.0,40.00000000000013,-20.000000000000018,9.999999999999998
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-769.6,-1179.9999999999995,7000.0000000000055,1179.9999999999995,5679.999999999289,5820.0000000000055,59.31,39.94,0.20274914089347051,0.9759450171820074,Put,87.5,10.0,Put,99.0,-20.0,Put,103.5,10.0,159.99999999999991,0.0,69.99999999999997,-20.000000000000007,10.0
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-759.95,-1150.0,6500.000000000011,1150.0,5149.999999999303,5350.000000000011,59.31,39.94,0.21495327102803694,0.9626168224297743,Put,88.0,10.0,Put,98.5,-20.0,Put,102.5,10.0,150.00000000000009,0.0,60.00000000000001,-19.999999999999996,10.000000000000004
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-873.82,-979.9999999999995,6000.0000000000055,979.9999999999995,4479.999999999318,5020.0000000000055,58.83,40.42,0.19521912350597578,0.8924302788843252,Put,88.5,10.0,Put,98.0,-20.0,Put,101.5,10.0,139.99999999999991,0.0,60.00000000000001,-20.000000000000007,10.0
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-922.1,-860.0,5500.0000000000055,860.0,3859.999999999318,4640.0000000000055,58.59,40.66,0.18534482758620668,0.8318965517239899,Put,89.0,10.0,Put,97.5,-20.0,Put,100.5,10.0,109.99999999999997,0.0,40.00000000000013,-20.000000000000018,9.999999999999998
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-668.32,-1260.0,6000.0000000000055,1260.0,4759.999999999303,4740.0000000000055,58.35,40.9,0.2658227848101263,1.0042194092825523,Put,89.0,10.0,Put,98.5,-20.0,Put,102.0,10.0,140.00000000000009,0.0,60.00000000000001,-20.000000000000007,10.0
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-796.65,-740.0,4500.0000000000055,740.0,3239.999999999318,3760.0000000000055,58.35,40.9,0.19680851063829757,0.8617021276593918,Put,90.0,10.0,Put,97.0,-20.0,Put,99.5,10.0,100.0,0.0,30.00000000000007,-20.000000000000018,9.999999999999998
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-759.35,-1230.0,6500.000000000011,1230.0,5229.99999999929,5270.000000000011,58.35,40.9,0.23339658444022723,0.9924098671725387,Put,88.5,10.0,Put,99.0,-20.0,Put,103.0,10.0,149.99999999999974,0.0,69.99999999999997,-19.999999999999996,10.000000000000004
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-1083.2,-950.0,7000.0000000000055,950.0,5449.99999999929,6050.0000000000055,57.63,41.62,0.15702479338842962,0.9008264462808735,Put,88.0,10.0,Put,99.5,-20.0,Put,104.0,10.0,150.0,0.0,69.99999999999997,-20.000000000000007,10.0
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-1084.67,-980.0,7500.000000000011,980.0,5979.99999999929,6520.000000000011,57.63,41.62,0.1503067484662574,0.917177914110319,Put,87.5,10.0,Put,100.0,-20.0,Put,105.0,10.0,160.00000000000014,0.0,79.99999999999999,-30.000000000000004,9.999999999999998
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-850.79,-840.0,5000.000000000003,840.0,3839.999999999318,4160.000000000003,57.39,41.86,0.2019230769230768,0.9230769230767585,Put,90.0,10.0,Put,98.0,-20.0,Put,101.0,10.0,119.99999999999997,0.0,50.0,-20.000000000000007,10.0
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-964.51,-1230.0,8500.000000000011,1230.0,7229.9999999992615,7270.000000000011,57.14,42.1,0.16918844566712493,0.9944979367261693,Put,87.0,10.0,Put,101.5,-20.0,Put,107.5,10.0,200.00000000000009,0.0,99.99999999999996,-40.0,5.551115123125783e-15
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-703.14,-1140.0,5500.000000000011,1140.0,4639.99999999929,4360.000000000011,56.9,42.34,0.2614678899082562,1.064220183486073,Put,90.0,10.0,Put,99.0,-20.0,Put,102.5,10.0,129.9999999999999,0.0,50.0,-19.999999999999996,10.000000000000004
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-1003.29,-1180.0,8000.000000000011,1180.0,6679.9999999992615,6820.000000000011,56.9,42.34,0.17302052785923727,0.9794721407623534,Put,87.5,10.0,Put,101.0,-20.0,Put,106.5,10.0,190.00000000000003,0.0,89.99999999999994,-30.000000000000004,0.0
NUGT,DIREXION SHARES ETF TRUST DIREXION DLY GLD MIN IDX 2X,Bullish Put Modified Butterfly,-990.74,-1129.9999999999995,7000.0000000000055,1129.9999999999995,5629.999999999289,5870.0000000000055,56.9,42.34,0.19250425894378168,0.959114139693234,Put,88.5,10.0,Put,100.0,-20.0,Put,104.5,10.0,150.00000000000006,0.0,69.99999999999997,-30.000000000000004,10.0
