Name,total_calls,termination,Prob Bearish,Prob Bullish,Direction_Price,F1,Stock_Last,F2,sigma1,Impl_Vol,sigma2
TNA,28,False,0.2451171875,0.7548828125,Bearish,52.23087890625,34.98,30.70998046875,0.09708984374999999,0.9270999999999999,0.23681640625
TQQQ,62,True,0.25562350069304407,0.7443764993069559,Bearish,100.898411591656,126.99,134.9170992152797,0.01,0.8858,0.39805507191295236
UPRO,24,True,0.23306367947882373,0.7669363205211763,Bearish,51.176936929044594,56.12,57.55397482333525,0.915164022543468,0.7137,0.30633922295975285
URTY,17,True,0.026048750844264282,0.9739512491557357,Bearish,20.75,41.5,41.71087758342802,0.99,0.8205,0.7438921719722296
USHY,1,True,0.9979069006782944,0.0020930993217056493,Bullish,39.9707776983042,39.95,54.53193946307611,0.061298251547842096,0.08410000000000001,0.2798828125
UTSL,7,True,0.49178088140503157,0.5082191185949685,Bearish,24.401570456577097,25.63,25.886966658185127,0.99,0.5484,0.29084686700361434
VBK,5,True,0.5503211583637491,0.44967884163625094,Bullish,213.54259761754645,216.14,219.47500866483935,0.35075509337638106,0.263,0.10512990302269001
VOE,11,True,0.9103120740449134,0.08968792595508657,Bullish,102.84945751882223,103.16,102.17625104143973,0.12503261950990913,0.21989999999999998,0.9670047069603357
VONV,11,True,0.2893480442187237,0.7106519557812763,Bearish,104.63553166745187,105.608,105.92805397806801,0.6252416709759069,0.2214,0.10683467101392528
VOO,6,True,0.24822972277419322,0.7517702772258068,Bearish,298.5325611755551,307.36,310.174162755415,0.2854796413757472,0.21969999999999998,0.10409314373187804
VOX,7,True,0.2268314081871334,0.7731685918128666,Bearish,96.66920676426798,102.81,104.46263155958427,0.024977826445123325,0.18780000000000002,0.06976368617749727
VPU,13,True,0.007657015225423063,0.9923429847745769,Bearish,87.34208687421025,134.49,134.5999606796112,0.5675284121139561,0.20190000000000002,0.1625320716702076
VRP,2,True,0.008716905143551945,0.991283094856448,Bearish,16.012024001642104,24.69,24.676304094158212,0.5670034883473578,0.1405,0.12134392839746738
VSS,9,True,0.07237504284459037,0.9276249571554096,Bearish,101.21497211228464,104.8,104.98499157573552,0.99,0.1885,0.15072469195817412
VTI,14,True,0.15597543049804935,0.8440245695019506,Bearish,160.69878442535793,169.8,171.45586782987309,0.2498682805391373,0.2248,0.11387434367324814
XLB,14,True,0.7440728430848308,0.2559271569151692,Bullish,61.45814348716692,61.71,61.72300339247156,0.10417010796140844,0.2671,0.5863399107618467
XLE,14,True,0.555314963005466,0.444685036994534,Bullish,36.804648317318126,37.18,37.692858500894616,0.49108123789633146,0.39590000000000003,0.20961634854789374
XLF,6,True,0.12937367467949543,0.8706263253205045,Bearish,23.045195943284423,24.84,25.11941676331211,0.3664636672018484,0.3059,0.21286562244121096
XLI,16,True,0.04994750647518087,0.9500524935248191,Bearish,66.32522471045276,75.13,75.5746929175221,0.17769644112542504,0.2481,0.1789448693260793
XLRE,4,True,0.7195451231446601,0.2804548768553399,Bullish,36.19309834216443,36.5,37.24622825203235,0.2662297709638882,0.25420000000000004,0.010744941890858836
XLU,12,True,0.5406660996463422,0.45933390035365784,Bullish,60.97199603289438,61.49,61.97171134415581,0.2296554000611427,0.20559999999999998,0.06472795938309779
XLY,20,True,0.1737153418343479,0.8262846581656521,Bearish,132.40048108631646,140.38,141.97526379874958,0.2412844806739995,0.20800000000000002,0.1442530449665133
XPP,14,True,1.0,0.0,Bullish,58.415172778958,58.34,79.65288509814927,0.497275346173928,0.4902,0.27988198414582405
YANG,9,True,0.35639956838270104,0.643600431617299,Bearish,24.59002606385562,25.29,25.439449846437515,0.3636182219711192,0.741,0.99
