,C_100.0,C_1000000.0,C_101.0,C_34.0,C_35.0,C_35.5,C_36.0,C_95.0,C_96.0,C_97.0,C_97.5,C_98.0,C_98.5,C_99.0,C_99.5,Cost of Strategy,Exp_Pnl/Max_Loss,Expected PnL,Max_Loss,Max_Profit,Name,P_100.0,P_101.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5,P_95.0,P_96.0,P_97.0,P_97.5,P_98.0,P_98.5,P_99.0,P_99.5,Prob of Loss,Prob of Profit,Strategy_Delta,Strategy_Gamma,Strategy_Rho,Strategy_Theta,Strategy_Vega,Underlying
173,,-4.0,,0.0,0.0,0.0,4.0,,,,,,,,,300.0,0.3262333333333334,97.87,300.0,5252.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,140.0,48.0,0.0,-16.0,8.0,TAP
174,,-5.0,,0.0,0.0,0.0,4.0,,,,,,,,,300.0,0.3262333333333334,97.87,300.0,5252.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,140.0,48.0,0.0,-16.0,8.0,TAP
140,,0.0,,0.0,0.0,0.0,3.0,,,,,,,,,225.0,0.32622222222222225,73.4,225.0,3939.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,104.99999999999999,36.0,0.0,-12.0,6.0,TAP
141,,0.0,,0.0,0.0,0.0,3.0,,,,,,,,,225.0,0.32622222222222225,73.4,225.0,3939.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,104.99999999999999,36.0,0.0,-12.0,6.0,TAP
142,,0.0,,0.0,0.0,0.0,3.0,,,,,,,,,225.0,0.32622222222222225,73.4,225.0,3939.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,104.99999999999999,36.0,0.0,-12.0,6.0,TAP
143,,0.0,,0.0,0.0,0.0,3.0,,,,,,,,,225.0,0.32622222222222225,73.4,225.0,3939.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,104.99999999999999,36.0,0.0,-12.0,6.0,TAP
144,,0.0,,0.0,0.0,0.0,3.0,,,,,,,,,225.0,0.32622222222222225,73.4,225.0,3939.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,104.99999999999999,36.0,0.0,-12.0,6.0,TAP
165,,-1.0,,0.0,0.0,0.0,3.0,,,,,,,,,225.0,0.32622222222222225,73.4,225.0,3939.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,104.99999999999999,36.0,0.0,-12.0,6.0,TAP
166,,-2.0,,0.0,0.0,0.0,3.0,,,,,,,,,225.0,0.32622222222222225,73.4,225.0,3939.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,104.99999999999999,36.0,0.0,-12.0,6.0,TAP
167,,-3.0,,0.0,0.0,0.0,3.0,,,,,,,,,225.0,0.32622222222222225,73.4,225.0,3939.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,104.99999999999999,36.0,0.0,-12.0,6.0,TAP
168,,-4.0,,0.0,0.0,0.0,3.0,,,,,,,,,225.0,0.32622222222222225,73.4,225.0,3939.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,104.99999999999999,36.0,0.0,-12.0,6.0,TAP
169,,-5.0,,0.0,0.0,0.0,3.0,,,,,,,,,225.0,0.32622222222222225,73.4,225.0,3939.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,104.99999999999999,36.0,0.0,-12.0,6.0,TAP
135,,0.0,,0.0,0.0,0.0,2.0,,,,,,,,,150.0,0.3262,48.93,150.0,2626.0283020934694,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,70.0,24.0,0.0,-8.0,4.0,TAP
136,,0.0,,0.0,0.0,0.0,2.0,,,,,,,,,150.0,0.3262,48.93,150.0,2626.0283020934694,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,70.0,24.0,0.0,-8.0,4.0,TAP
137,,0.0,,0.0,0.0,0.0,2.0,,,,,,,,,150.0,0.3262,48.93,150.0,2626.0283020934694,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,70.0,24.0,0.0,-8.0,4.0,TAP
138,,0.0,,0.0,0.0,0.0,2.0,,,,,,,,,150.0,0.3262,48.93,150.0,2626.0283020934694,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,70.0,24.0,0.0,-8.0,4.0,TAP
139,,0.0,,0.0,0.0,0.0,2.0,,,,,,,,,150.0,0.3262,48.93,150.0,2626.0283020934694,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,70.0,24.0,0.0,-8.0,4.0,TAP
160,,-1.0,,0.0,0.0,0.0,2.0,,,,,,,,,150.0,0.3262,48.93,150.0,2626.0283020934694,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,70.0,24.0,0.0,-8.0,4.0,TAP
161,,-2.0,,0.0,0.0,0.0,2.0,,,,,,,,,150.0,0.3262,48.93,150.0,2626.0283020934694,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,70.0,24.0,0.0,-8.0,4.0,TAP
162,,-3.0,,0.0,0.0,0.0,2.0,,,,,,,,,150.0,0.3262,48.93,150.0,2626.0283020934694,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,70.0,24.0,0.0,-8.0,4.0,TAP
163,,-4.0,,0.0,0.0,0.0,2.0,,,,,,,,,150.0,0.3262,48.93,150.0,2626.0283020934694,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,70.0,24.0,0.0,-8.0,4.0,TAP
164,,-5.0,,0.0,0.0,0.0,2.0,,,,,,,,,150.0,0.3262,48.93,150.0,2626.0283020934694,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,70.0,24.0,0.0,-8.0,4.0,TAP
