,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_95.0,C_96.0,C_97.0,C_97.5,C_98.0,C_98.5,C_99.0,C_99.5,C_100.0,C_101.0,P_95.0,P_96.0,P_97.0,P_97.5,P_98.0,P_98.5,P_99.0,P_99.5,P_100.0,P_101.0
55,NKE,Long Call Butterfly,6.13,204.0,2271.5355018691744,204.0,36.43,63.54,0.030049019607843137,32.00000000000001,3.9999999999999982,-6.000000000000005,7.000000000000001,3.9999999999999996,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,NKE,Long Call Butterfly,13.55,467.0,4834.071003738349,467.0,33.49,66.49,0.029014989293361885,83.0,15.000000000000002,-18.000000000000004,14.000000000000002,0.9999999999999996,0.0,3.0,-4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,NKE,Long Call Butterfly,13.73,490.0000000000001,4911.071003738349,490.0000000000001,33.49,66.49,0.0280204081632653,92.99999999999997,10.999999999999998,-18.000000000000004,14.000000000000002,0.9999999999999996,0.0,0.0,3.0,0.0,-4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,NKE,Long Call Butterfly,8.51,303.9999999999999,2471.5355018691744,303.9999999999999,33.49,66.49,0.027993421052631588,48.0,8.000000000000002,-8.999999999999996,4.999999999999999,2.0000000000000004,2.0,-3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,NKE,Long Call Butterfly,6.01,250.0,2425.5355018691744,250.0,33.49,66.49,0.02404,43.99999999999999,7.000000000000001,-8.999999999999996,7.000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,2.0,0.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,NKE,Long Call Butterfly,6.1,257.0,2468.5355018691744,257.0,33.49,66.49,0.023735408560311283,46.00000000000001,7.000000000000001,-8.999999999999996,7.000000000000001,3.469446951953614e-16,0.0,0.0,0.0,0.0,2.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,NKE,Long Call Butterfly,7.5,352.99999999999994,2472.5355018691744,352.99999999999994,49.66,50.32,0.02124645892351275,54.99999999999999,2.9999999999999973,-6.999999999999998,7.000000000000001,3.0000000000000004,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,NKE,Long Call Butterfly,5.58,125.99999999999989,2249.5355018691744,271.13344746679866,36.96,63.01,0.020580271641636144,19.999999999999996,8.000000000000002,-8.999999999999996,4.999999999999999,3.469446951953614e-16,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NKE,Long Call Butterfly,5.17,207.9999999999999,2367.5355018691744,262.8665525332011,33.49,66.49,0.019667774200169526,34.0,8.000000000000002,-8.999999999999996,4.999999999999999,3.469446951953614e-16,2.0,-3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,NKE,Long Call Butterfly,6.82,370.99999999999994,2554.5355018691744,370.99999999999994,49.66,50.32,0.018382749326145555,59.00000000000001,7.000000000000001,-8.999999999999996,7.000000000000001,3.0000000000000004,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,NKE,Long Call Butterfly,3.84,236.0,2439.5355018691744,236.0,33.49,66.49,0.016271186440677966,45.999999999999986,7.000000000000001,-8.999999999999996,7.000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,NKE,Long Call Butterfly,3.93,284.0,2491.5355018691744,284.0,33.49,66.49,0.013838028169014084,51.0,7.000000000000001,-8.999999999999996,7.000000000000001,2.0000000000000004,0.0,0.0,0.0,2.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
