,C_1000000.0,C_34.0,C_35.0,C_35.5,C_36.0,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,C_43.5,C_44.0,C_44.5,Cost of Strategy,Exp_Pnl/Max_Loss,Expected PnL,Max_Loss,Max_Profit,Name,P_-1000000.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0,P_43.5,P_44.0,P_44.5,Prob of Loss,Prob of Profit,Strategy_Delta,Strategy_Gamma,Strategy_Rho,Strategy_Theta,Strategy_Vega,Underlying
2,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-152.0,-0.1314864864864865,-19.46,148.0,152.0,Bull Put Spread,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,52.41,47.52,27.0,0.9999999999999996,0.0,-1.0000000000000009,0.0,WDC
8,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.0,-0.13851063829787233,-13.02,94.0,106.0,Bull Put Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,52.41,47.52,18.000000000000004,0.9999999999999996,0.0,-1.0000000000000009,0.0,WDC
10,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.99999999999997,-0.17086956521739122,-11.79,69.00000000000003,80.99999999999997,Bull Put Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,68.14,31.79,13.0,0.9999999999999996,0.0,-1.0000000000000009,0.0,WDC
7,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.0,-0.17620253164556962,-13.92,79.0,71.0,Bull Put Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,52.41,47.52,13.0,0.9999999999999996,0.0,0.0,0.0,WDC
9,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.99999999999997,-0.23518518518518505,-12.7,54.00000000000003,45.99999999999997,Bull Put Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,52.41,47.52,7.9999999999999964,0.9999999999999996,0.0,0.0,0.0,WDC
4,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.99999999999997,-0.2792424242424241,-18.43,66.00000000000003,33.99999999999997,Bull Put Spread,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,52.41,47.52,9.000000000000002,0.0,0.0,0.0,0.0,WDC
0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9999999999999716,-0.29673913043478245,-13.65,46.00000000000003,3.9999999999999716,Bull Put Spread,0.0,,,,,,,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29,64.64,2.9999999999999973,0.0,0.0,0.0,0.0,WDC
12,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0,-0.3177551020408163,-15.57,49.0,51.0,Bull Put Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,68.14,31.79,8.000000000000007,0.9999999999999996,0.0,0.0,0.0,WDC
3,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-0.33916666666666667,-12.21,36.0,14.0,Bull Put Spread,0.0,,,,,,,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,52.41,47.52,3.9999999999999982,0.0,0.0,0.0,0.0,WDC
11,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,-0.4844117647058823,-16.47,34.0,16.0,Bull Put Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,68.14,31.79,3.0000000000000027,0.9999999999999996,0.0,1.0000000000000009,0.0,WDC
13,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,-0.4864516129032258,-15.08,31.0,19.0,Bull Put Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,68.14,31.79,5.000000000000004,0.0,0.0,-1.0000000000000009,0.0,WDC
0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.00000000000001,0.42381818181818176,46.62,110.00000000000001,2164.0108784036793,Bear Put Spread,-1.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.64,35.29,-33.0,8.0,-1.0,-7.000000000000001,3.0,WDC
1,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.37220472440944885,47.27,127.0,2197.0108784036793,Bear Put Spread,-1.0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.64,35.29,-36.0,8.0,-1.0,-7.000000000000001,3.0,WDC
3,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.32403508771929823,55.41,171.0,2253.0108784036793,Bear Put Spread,-1.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.64,35.29,-45.0,9.0,-1.0,-7.000000000000001,3.0,WDC
2,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.3084313725490196,47.19,153.0,2221.0108784036793,Bear Put Spread,-1.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.64,35.29,-40.0,9.0,-1.0,-7.000000000000001,3.0,WDC
4,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.26949748743718593,53.63,199.0,2275.0108784036793,Bear Put Spread,-1.0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,64.64,35.29,-49.0,9.0,-1.0,-7.000000000000001,3.0,WDC
5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.00000000000003,0.2448660714285714,54.85,224.00000000000003,2300.0108784036793,Bear Put Spread,-1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.64,35.29,-54.0,9.0,-1.0,-7.000000000000001,3.0,WDC
6,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,0.2011023622047244,51.08,254.0,2320.0108784036793,Bear Put Spread,-1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64.64,35.29,-59.0,9.0,-1.0,-6.0,3.0,WDC
7,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,0.18027972027972028,51.56,286.0,2338.0108784036793,Bear Put Spread,-1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.52,52.41,-62.0,8.0,-1.0,-7.000000000000001,3.0,WDC
8,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.17984126984126983,56.65,315.0,2359.0108784036793,Bear Put Spread,-1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.52,52.41,-67.0,8.0,-1.0,-6.0,3.0,WDC
11,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.011449275362318842,0.79,69.0,81.0,Bear Put Spread,0.0,,,,,,,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.52,52.41,-12.0,0.9999999999999996,0.0,0.0,0.0,WDC
16,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.009577464788732394,2.04,213.0,187.0,Bear Put Spread,0.0,,,,,,,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.52,52.41,-34.0,0.0,0.0,1.0000000000000009,0.0,WDC
13,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.00000000000003,0.001967213114754098,0.24,122.00000000000003,127.99999999999997,Bear Put Spread,0.0,,,,,,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.52,52.41,-21.000000000000004,0.9999999999999996,0.0,0.0,0.0,WDC
12,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,-0.010103092783505154,-0.98,97.0,103.0,Bear Put Spread,0.0,,,,,,,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.52,52.41,-15.999999999999998,0.9999999999999996,0.0,0.0,0.0,WDC
15,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,-0.016576086956521737,-3.05,184.0,166.0,Bear Put Spread,0.0,,,,,,,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.52,52.41,-28.999999999999996,0.0,0.0,0.0,0.0,WDC
23,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,-0.017960199004975124,-3.61,201.0,149.0,Bear Put Spread,0.0,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.52,52.41,-31.000000000000007,0.0,0.0,1.0000000000000009,0.0,WDC
14,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,-0.023289473684210527,-3.54,152.0,148.0,Bear Put Spread,0.0,,,,,,,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.52,52.41,-25.999999999999996,0.9999999999999996,0.0,1.0000000000000009,0.0,WDC
20,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.00000000000004,-0.04918181818181817,-5.41,110.00000000000004,89.99999999999996,Bear Put Spread,0.0,,,,,,,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.52,52.41,-18.000000000000004,0.9999999999999996,0.0,0.0,0.0,WDC
22,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,-0.0505813953488372,-8.7,172.0,128.0,Bear Put Spread,0.0,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.52,52.41,-26.0,0.0,0.0,0.0,0.0,WDC
21,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,-0.06564285714285714,-9.19,140.0,110.0,Bear Put Spread,0.0,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.52,52.41,-23.0,0.9999999999999996,0.0,1.0000000000000009,0.0,WDC
19,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.00000000000001,-0.07799999999999999,-6.63,85.00000000000001,64.99999999999999,Bear Put Spread,0.0,,,,,,,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.52,52.41,-13.0,0.9999999999999996,0.0,0.0,0.0,WDC
27,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,-0.08438461538461539,-10.97,130.0,70.0,Bear Put Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,47.52,52.41,-18.000000000000004,-0.9999999999999996,0.0,1.0000000000000009,0.0,WDC
18,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.000000000000014,-0.08526315789473683,-4.86,57.000000000000014,42.999999999999986,Bear Put Spread,0.0,,,,,,,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.52,52.41,-9.000000000000002,0.9999999999999996,0.0,0.0,0.0,WDC
10,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,-0.14549019607843136,-7.42,51.0,49.0,Bear Put Spread,0.0,,,,,,,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.64,35.29,-7.000000000000001,0.9999999999999996,0.0,0.0,0.0,WDC
28,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.00000000000003,-0.15618181818181814,-17.18,110.00000000000003,39.99999999999997,Bear Put Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,47.52,52.41,-13.0,-0.9999999999999996,0.0,1.0000000000000009,0.0,WDC
26,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,-0.15900990099009898,-16.06,101.0,49.0,Bear Put Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,47.52,52.41,-13.0,-0.9999999999999996,0.0,0.0,0.0,WDC
25,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,-0.23971014492753623,-16.54,69.0,31.0,Bear Put Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,47.52,52.41,-9.999999999999998,0.0,0.0,1.0000000000000009,0.0,WDC
29,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,-0.24222222222222223,-10.9,45.0,5.0,Bear Put Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,31.79,68.14,-5.000000000000004,0.0,0.0,1.0000000000000009,0.0,WDC
9,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-0.29359999999999997,-7.34,25.0,25.0,Bear Put Spread,0.0,,,,,,,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.64,35.29,-2.9999999999999973,0.0,0.0,0.0,0.0,WDC
