,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0
0,SWK,Bull Put Ladder,-16.33,310.0,5339.945627935993,357.04976989136753,19.71,80.25,-0.045735920807254415,-25.0,3.0,-18.0,9.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,SWK,Bear Call Ladder,45.18,330.0,5403.945627935992,330.0,19.72,80.23,0.1369090909090909,30.0,3.0,-17.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,SWK,Bear Call Ladder,49.26,310.00000000000006,5423.945627935992,410.00000000000006,19.72,80.23,0.12014634146341462,30.000000000000004,3.0,-16.0,9.000000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,SWK,Bear Call Ladder,64.29,150.00000000000006,5283.945627935992,550.0,19.72,80.23,0.1168909090909091,21.000000000000007,3.0,-16.0,10.0,1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,SWK,Bear Call Ladder,50.94,260.0,5373.945627935992,460.0,19.72,80.23,0.1107391304347826,27.000000000000007,3.0,-17.0,11.0,1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,SWK,Bear Call Ladder,50.94,260.00000000000006,5373.945627935992,460.00000000000006,19.72,80.23,0.11073913043478259,27.0,3.0,-16.0,9.000000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,SWK,Bear Call Ladder,65.97,100.00000000000006,5233.945627935992,600.0,19.72,80.23,0.10994999999999999,18.000000000000004,3.0,-16.0,10.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,SWK,Bear Call Ladder,51.44,410.00000000000006,5623.945627935992,478.9502301086322,32.4,67.56,0.1074015560830459,39.00000000000001,3.0,-19.0,11.0,1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,SWK,Bear Call Ladder,68.67,40.00000000000006,5193.945627935992,640.0,19.72,80.23,0.107296875,15.000000000000002,3.0,-16.0,10.0,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,SWK,Bear Call Ladder,39.51,250.0,5283.945627935992,381.0497698913679,19.72,80.23,0.10368724277477917,24.0,3.0,-16.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
