Cost of Strategy,Description,Exp_Pnl/Max_Loss,Expected PnL,Leg_Profit_Factor,Leg_profit,Max_Loss,Max_Profit,Name,Prob of Loss,Prob of Profit,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Rho,Strategy_Theta,Strategy_Vega,Strike_1,Strike_1_alloc,Strike_1_type,Strike_2,Strike_2_alloc,Strike_2_type,Strike_3,Strike_3_alloc,Strike_3_type,Underlying
-2030.000000000001,ABBVIE INC COM,-0.1059279538904896,-367.57,0.5850144092219006,2030.000000000001,3470.00000000001,2515.000000000654,Bearish Call Modified Butterfly,48.53,51.47,0.7247838616716561,-730.0000000000001,-19.99999999999997,-20.0,39.99999999999999,-19.999999999999996,92.5,10.0,Call,93.0,-30.0,Call,96.0,20.0,Call,ABBV
-2390.000000000001,ABBVIE INC COM,-0.11213665943600844,-516.95,0.5184381778741857,2390.000000000001,4610.00000000001,3375.00000000064,Bearish Call Modified Butterfly,48.53,51.47,0.7321041214751914,-829.9999999999999,0.0,-20.0,100.0,-39.99999999999999,91.5,10.0,Call,92.5,-30.0,Call,96.5,20.0,Call,ABBV
-310.0000000000002,ABBVIE INC COM,-0.2995502958579862,-506.24,0.18343195266272083,310.0000000000002,1690.0000000000111,1295.0000000006676,Bearish Call Modified Butterfly,49.76,50.24,0.7662721893495024,-290.00000000000006,-30.00000000000003,2.7755575615628914e-15,-2.220446049250313e-14,0.0,92.5,10.0,Call,93.5,-30.0,Call,95.0,20.0,Call,ABBV
-2190.000000000001,ABBVIE INC COM,-0.1205538057742779,-459.31,0.574803149606298,2190.000000000001,3810.00000000001,3175.00000000064,Bearish Call Modified Butterfly,49.76,50.24,0.8333333333334991,-729.9999999999999,39.99999999999999,-20.0,80.0,-39.99999999999999,91.5,10.0,Call,92.5,-30.0,Call,96.0,20.0,Call,ABBV
-680.0000000000011,ABBVIE INC COM,-0.16491758241758148,-300.15,0.37362637362637213,680.0000000000011,1820.0000000000102,2165.000000000654,Bearish Call Modified Butterfly,49.76,50.24,1.1895604395607922,-319.99999999999994,4.440892098500626e-14,2.7755575615628914e-15,39.99999999999999,-19.999999999999996,91.5,10.0,Call,93.0,-30.0,Call,95.0,20.0,Call,ABBV
-1830.000000000001,ABBVIE INC COM,-0.1576986506746624,-1051.85,0.2743628185907044,1830.000000000001,6670.00000000001,3315.00000000064,Bearish Call Modified Butterfly,49.76,50.24,0.49700149925047,-1019.9999999999998,-80.0,-20.0,99.99999999999997,-50.000000000000014,91.0,10.0,Call,92.5,-30.0,Call,97.5,20.0,Call,ABBV
-1750.000000000001,ABBVIE INC COM,-0.12322181818181774,-338.86,0.6363636363636344,1750.000000000001,2750.00000000001,2235.000000000654,Bearish Call Modified Butterfly,49.76,50.24,0.8127272727275076,-610.0,4.440892098500626e-14,2.7755575615628914e-15,19.99999999999997,0.0,92.5,10.0,Call,93.0,-30.0,Call,95.5,20.0,Call,ABBV
-1750.000000000001,ABBVIE INC COM,-0.1671182608695649,-960.93,0.30434782608695615,1750.000000000001,5750.00000000001,3235.00000000064,Bearish Call Modified Butterfly,49.76,50.24,0.5626086956522842,-979.9999999999998,-60.00000000000001,-20.0,99.99999999999997,-50.000000000000014,91.0,10.0,Call,92.5,-30.0,Call,97.0,20.0,Call,ABBV
-1180.0,ABBOTT LABORATORIES COM,-0.16073529411764662,-1256.95,0.1508951406649612,1180.0,7820.000000000022,2175.0000000008004,Bearish Call Modified Butterfly,39.22,60.78,0.2781329923274673,-509.9999999999998,-39.99999999999999,-20.0,100.00000000000004,-39.99999999999997,110.0,10.0,Call,111.0,-30.0,Call,116.0,20.0,Call,ABT
-1990.0000000000002,ABBOTT LABORATORIES COM,-0.14077709454265924,-1831.51,0.15295926210607202,1990.0000000000002,13010.000000000022,2985.000000000772,Bearish Call Modified Butterfly,43.89,56.11,0.22943889315916735,-710.0,-50.0,-20.0,150.00000000000006,-39.99999999999997,109.0,10.0,Call,110.0,-30.0,Call,118.0,20.0,Call,ABT
-1630.0,ABBOTT LABORATORIES COM,-0.18741728922091738,-1756.1,0.17395944503735286,1630.0,9370.000000000022,2625.000000000772,Bearish Call Modified Butterfly,44.68,55.32,0.28014941302035923,-630.0000000000001,-30.000000000000004,-20.0,150.00000000000006,-39.99999999999997,109.0,10.0,Call,110.0,-30.0,Call,116.0,20.0,Call,ABT
-1230.0,ABBOTT LABORATORIES COM,-0.23350064350064284,-1814.3,0.15830115830115785,1230.0,7770.000000000022,2225.000000000772,Bearish Call Modified Butterfly,46.27,53.73,0.28635778635788495,-510.00000000000006,-30.000000000000004,2.7755575615628914e-15,90.00000000000003,-19.99999999999997,109.0,10.0,Call,110.0,-30.0,Call,115.0,20.0,Call,ABT
-450.0,APPLIED MATERIALS INC COM,-0.17958536585365753,-368.15,0.21951219512195,450.0,2050.0000000000114,885.000000000457,Bearish Call Modified Butterfly,37.96,62.04,0.4317073170733913,-300.0,-40.000000000000036,-20.0,39.99999999999997,1.1102230246251565e-14,63.0,10.0,Call,63.5,-30.0,Call,65.0,20.0,Call,AMAT
