,C_1000000.0,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,C_34.0,C_35.0,C_35.5,C_36.0,Cost of Strategy,Exp_Pnl/Max_Loss,Expected PnL,Max_Loss,Max_Profit,Name,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5,Prob of Loss,Prob of Profit,Strategy_Delta,Strategy_Gamma,Strategy_Rho,Strategy_Theta,Strategy_Vega,Underlying
205,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1090.0,0.02582347809420422,31.82,1232.2120158996563,9752.09905732715,Bull Put Ladder,,,,,,,,,,,,,,0.0,5.0,5.0,-3.0,0.0,0.0,65.37,34.58,-363.0,86.99999999999999,-7.000000000000001,-35.0,24.0,TAP
294,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1725.0,0.025595330653240902,45.27,1768.6819761505162,12779.12735942062,Bull Put Ladder,,,,,,,,,,,,,,0.0,0.0,5.0,5.0,0.0,-1.0,65.37,34.58,-545.0,107.99999999999999,-9.000000000000002,-44.0,23.0,TAP
270,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1375.0,0.025396812397493494,36.03,1418.6819761505162,11223.113208373883,Bull Put Ladder,,,,,,,,,,,,,,0.0,5.0,0.0,4.0,0.0,-1.0,65.37,34.58,-446.0,97.0,-8.0,-39.0,21.0,TAP
115,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,950.0,0.024847878402754178,25.8,1038.3180238494845,9592.099057327148,Bull Put Ladder,,,,,,,,,,,,,,4.0,0.0,5.0,-2.0,0.0,0.0,65.37,34.58,-326.99999999999994,82.0,-6.999999999999999,-35.0,23.0,TAP
262,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,545.0,0.024374100719424464,16.94,695.0,5529.056604186942,Bull Put Ladder,,,,,,,,,,,,,,0.0,4.0,0.0,1.0,0.0,-1.0,65.37,34.58,-202.00000000000006,52.0,-4.0,-19.0,11.999999999999998,TAP
86,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,560.0,0.02421802002964953,18.5,763.8939920501718,8026.084906280414,Bull Put Ladder,,,,,,,,,,,,,,5.0,2.0,0.0,0.0,0.0,-1.0,65.37,34.58,-234.0,72.0,-6.000000000000001,-28.999999999999996,19.0,TAP
223,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,610.0,0.024060469135255714,24.02,998.3180238494845,6920.070755233677,Bull Put Ladder,,,,,,,,,,,,,,0.0,2.0,5.0,0.0,0.0,-2.0,65.37,34.58,-259.0,70.0,-5.0,-23.0,17.0,TAP
51,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,555.0,0.024027170888548548,14.63,608.8939920501718,6725.070755233677,Bull Put Ladder,,,,,,,,,,,,,,4.0,2.0,0.0,-1.0,0.0,0.0,65.37,34.58,-200.0,56.99999999999999,-5.0,-25.000000000000007,16.0,TAP
283,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1095.0,0.023799445822103537,27.1,1138.6819761505162,8491.08490628041,Bull Put Ladder,,,,,,,,,,,,,,0.0,0.0,4.0,3.0,0.0,-1.0,65.37,34.58,-357.99999999999994,74.0,-6.000000000000001,-29.000000000000004,16.0,TAP
64,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,935.0,0.023504298451564716,24.51,1042.7879841003437,10813.113208373885,Bull Put Ladder,,,,,,,,,,,,,,5.0,5.0,0.0,-2.0,0.0,0.0,65.37,34.58,-331.99999999999994,93.0,-8.0,-40.0,26.0,TAP
