,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_34.0,C_35.0,C_35.5,C_36.0,C_1000000.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5
16,TAP,Long Straddle,123.62,920.0,4832.056604186939,908.3180238494845,54.36,45.6,0.13609770669979002,-13.0,88.0,-35.0,21.0,-3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
18,TAP,Long Straddle,157.91,1195.0,5995.070755233674,1179.4240317993126,54.36,45.6,0.13388738548857168,-31.00000000000003,113.0,-45.0,27.0,-4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
10,TAP,Long Straddle,138.25,1255.0,6525.070755233677,1070.5759682006874,54.36,45.6,0.12913609506138662,-68.0,108.0,-45.0,27.0,-1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
21,TAP,Long Straddle,104.79,975.0,4577.056604186939,813.3180238494845,54.36,45.6,0.128842589155989,-52.0,81.0,-31.0,14.0,-3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
8,TAP,Long Straddle,106.73,980.0,5244.0566041869415,841.6819761505155,54.36,45.6,0.12680561426316414,-64.0,84.0,-35.0,21.0,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
17,TAP,Long Straddle,137.18,1100.0,5324.0566041869415,1084.4240317993126,54.36,45.6,0.12650033195260932,-72.0,100.0,-40.0,24.0,-4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
12,TAP,Long Straddle,68.59,550.0,2662.0283020934708,542.2120158996563,54.36,45.6,0.12650033195260932,-36.0,50.0,-20.0,12.0,-2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
19,TAP,Long Straddle,171.47,1375.0,6655.070755233677,1355.5300397491408,54.36,45.6,0.12649664335858823,-90.00000000000003,125.0,-50.0,30.0,-5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
15,TAP,Long Straddle,102.88,825.0,3993.042453140206,813.3180238494845,54.36,45.6,0.12649418429590753,-54.0,75.0,-30.000000000000004,18.0,-3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
11,TAP,Long Straddle,34.29,275.0,1331.0141510467354,271.10600794982815,54.36,45.6,0.12648188898250395,-18.0,25.0,-10.0,6.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,TAP,Long Straddle,131.56,1275.0,5665.070755233674,1059.4240317993126,54.36,45.6,0.12418068313643983,-81.0,104.0,-40.0,18.0,-4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
