,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,C_43.5,C_44.0,C_44.5,P_-1000000.0,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0,P_43.5,P_44.0,P_44.5
23,WDC,Short Put Condor,81.74,-203.9999999999999,5976.032635211038,840.6332965900525,51.67,48.26,0.09723621504355155,-6.000000000000005,24.0,-24.000000000000004,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
30,WDC,Short Put Condor,136.23,-340.0,9960.054392018395,1401.055494316754,51.67,48.26,0.09723383588487665,-10.000000000000009,40.0,-40.00000000000001,15.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
27,WDC,Short Put Condor,108.98,-272.0,7968.043513614717,1120.8443954534032,51.67,48.26,0.0972302671468643,-7.999999999999963,32.0,-32.00000000000001,12.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
19,WDC,Short Put Condor,54.49,-136.0,3984.0217568073585,560.4221977267016,51.67,48.26,0.0972302671468643,-3.9999999999999813,16.0,-16.000000000000004,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
183,WDC,Short Put Condor,47.2,-18.0,4166.0217568073585,485.5778022732984,67.08,32.85,0.09720378439670593,-27.99999999999998,22.000000000000004,-18.000000000000004,6.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,-4.0
180,WDC,Short Put Condor,23.6,-9.0,2083.0108784036793,242.7889011366492,67.08,32.85,0.09720378439670593,-13.99999999999999,11.000000000000002,-9.000000000000002,3.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,-2.0
81,WDC,Short Put Condor,70.25,-25.0,6097.032635211036,725.0,51.67,48.26,0.09689655172413793,-34.00000000000003,28.999999999999993,-21.000000000000004,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,-5.0,0.0
170,WDC,Short Put Condor,85.37,-211.0,6083.032635211036,894.3667034099476,51.67,48.26,0.09545301683807125,-10.000000000000009,31.999999999999996,-26.000000000000007,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,-5.0
61,WDC,Short Put Condor,79.13,-165.0,5987.032635211036,835.0,51.67,48.26,0.09476646706586826,-14.000000000000012,28.999999999999993,-21.000000000000004,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,-5.0,0.0
88,WDC,Short Put Condor,74.77,-200.0,6022.032635211036,800.0,51.67,48.26,0.09346249999999999,-9.00000000000003,28.999999999999993,-26.000000000000007,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-5.0
95,WDC,Short Put Condor,46.06,-103.99999999999977,4052.0217568073585,496.0000000000002,51.67,48.26,0.09286290322580641,-14.000000000000012,20.0,-18.000000000000004,6.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-4.0
92,WDC,Short Put Condor,23.03,-51.999999999999886,2026.0108784036793,248.0000000000001,51.67,48.26,0.09286290322580641,-7.000000000000006,10.0,-9.000000000000002,3.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0
73,WDC,Short Put Condor,83.65,-340.0,5912.032635211036,910.0,51.67,48.26,0.09192307692307693,10.999999999999988,28.999999999999993,-26.000000000000007,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-5.0
122,WDC,Short Put Condor,81.1,-114.0,6086.032635211036,886.0,51.67,48.26,0.09153498871331828,-23.0,28.999999999999993,-21.000000000000004,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,-5.0,0.0
147,WDC,Short Put Condor,76.74,-149.0,6121.032635211036,851.0,51.67,48.26,0.09017626321974148,-18.000000000000014,28.999999999999993,-26.000000000000007,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,-5.0
153,WDC,Short Put Condor,47.37,-70.0,4118.0217568073585,530.0,51.67,48.26,0.08937735849056604,-19.99999999999997,20.0,-18.000000000000004,6.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,-4.0
150,WDC,Short Put Condor,23.68,-35.0,2059.0108784036793,265.0,51.67,48.26,0.08935849056603773,-9.999999999999986,10.0,-9.000000000000002,3.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0
133,WDC,Short Put Condor,85.62,-289.0,6011.032635211036,961.0,51.67,48.26,0.08909469302809574,2.0000000000000018,28.999999999999993,-26.000000000000007,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,-5.0
